20200802082@dypiu.ac.in,A+,A+,A+,A+,A+
c@dypiu.ac.in,A+,A+,A+,A,A
20200802068@dypiu.ac.in,A+,B,C,A,A
20200802068@dypiu.ac.in,F,F,C,A,A
20200802068@dypiu.ac.in,A+,B,C,A,A
20200802068@dypiu.ac.in,A+,B,C,A,A
20200802068@dypiu.ac.in,A+,F,C,A,A
20200802068@dypiu.ac.in,A+,B,C,A,A
20200802068@dypiu.ac.in,F,B,F,A,A
20200802068@dypiu.ac.in,A+,B,C,A,A
20200802068@dypiu.ac.in,A+,B,C,A,A
20200802068@dypiu.ac.in,A+,F,C,A,A
20200802068@dypiu.ac.in,A+,B,C,A,A
20200802068@dypiu.ac.in,F,B,C,A,A
20200802068@dypiu.ac.in,A+,B,F,F,A
20200802068@dypiu.ac.in,A+,B,C,A,A
20200802068@dypiu.ac.in,A+,F,C,A,A
20200802068@dypiu.ac.in,A+,B,C,A,A
20200802068@dypiu.ac.in,A+,B,C,A,A
20200802068@dypiu.ac.in,A+,B,C,A,A
